SHOW NAME,COUNTRY/REGION,YEAR,EPISODES,RATINGS,SUMMARY,POSTER
KISUMAI BUSAIKU!?,Japan,2013,,8.7,"A variety show hosted by the pop idol group Kis-My-Ft2. In each episode, the seven members of Kis-My-Ft2 attempt to prove their “coolness” instead of, as the title suggests, unappealing (*Busaiku means ugly or unappealing…",https://i.mydramalist.com/nddNBc.jpg
SMAPXSMAP,Japan,1996,920,9,"Is a Japanese television variety show hosted by boy band SMAP. Debuting on April 15, 1996, it was produced by Kansai TV and Fuji TV and aired on Fuji TV every Monday from 10:00 p.m. to 10:54 p.m. (JST) until it endd…",https://i.mydramalist.com/V4DKQc.jpg
SF9 TRIP WITH FANTASY,South Korea,2017,9,9.1,"Meet SF9! The nine-member boy group with passion and talent. Follow them in their third variety show as they take a trip. With the concept of communicating with their fans, Fantasy, on social media along the way. Watch…",https://i.mydramalist.com/LpPebc.jpg
THE ROMANTIC AND IDOL: SEASON 2,South Korea,2013,6,6.9,"For 4 days and 3 nights, the 8 idols selected should select another to remain as a couple they should also vote with who they want to stay.",https://i.mydramalist.com/0yPyKc.jpg
GIRL SPIRIT,South Korea,2016,11,7.7,Girl spirit is a South Korean reality television singing competition. The aim of the show is to highlight the talents of the vocalists of twelve lesser-known girl groups that debuted in recent years. The contestants…,https://i.mydramalist.com/1oWoKc.jpg
YAMASHITA TOMOHISA: ROUTE 66,Japan,2012,12,7.8,Hit the legendary Route 66 with Yamashita Tomohisa! The former NEWS member gets in a pickup truck and drives across America – from Chicago to Los Angeles – for the 12-episode Nippon Television documentary. Along…,https://i.mydramalist.com/lOqlLc.jpg
THE VOICE OF KOREA: SEASON 1,South Korea,2012,14,8.8,"The Voice of Korea is a South Korean reality singing competition and local version of The Voice. One of the important premises of the show is the quality of the singing talent. Four coaches, themselves popular performing…",https://i.mydramalist.com/gWDWrc.jpg
THE VOICE OF KOREA: SEASON 2,South Korea,2013,15,8.2,"The Voice of Korea is a South Korean reality singing competition and local version of The Voice. One of the important premises of the show is the quality of the singing talent. Four coaches, themselves popular performing…",https://i.mydramalist.com/lOqObc.jpg
OTONA NO KISS EIGO,Japan,2014,23,8.5,,https://i.mydramalist.com/kEqNkc.jpg
DUET SONG FESTIVAL: SEASON 1,South Korea,2016,47,8.7,"Hosted by Yoo Se Yoon, Baek Ji Young (until episode 29) and Sung Si Kyung. Celebrity artists choose a non-celebrity partner to perform a duet with.",https://i.mydramalist.com/JpWpmc.jpg
SHOUGEKI! 3 SEDAI HIKAKU TV: GENERATION TENGOKU,Japan,2013,34,10,"Talk battles between representatives from different generations, such as: “Modern Mango Generation” (10-20 age group), “Peak Period Kiwi Generation” (40-50 age group) and “Time of Creation Banana Generation”…",https://i.mydramalist.com/dRDw0c.jpg
UTABAN,Japan,1996,658,9.2,"Utaban was a Japanese music variety show, broadcast weekly on TBS. The name of the show is an abbreviation of ""uta bangumi"", meaning ""music program"". A special version of the show, running for two hours, was occasionally…",https://i.mydramalist.com/X4nkJc.jpg
MTV DIARY,South Korea,2012,64,9,"MTV gives 5 up-and-coming kpop groups (BTOB, C-Clown, JJ Project, MyNAME and VIXX) cameras allowing them to film their life behind the scenes as they promote and grow together as groups.",https://i.mydramalist.com/gWDx1c.jpg
PLAN V DIARY,South Korea,2013,5,9.1,VIXX members are equipped with cameras and go on different missions every week.,https://i.mydramalist.com/63WEOc.jpg
TAKESHI'S CASTLE,Japan,1986,133,8.8,"Takeshi's Castle is a Japanese game show that aired between 1986 and 1990, on the Tokyo Broadcasting System. It featured the Japanese actor Takeshi Kitano (also known as Beat Takeshi) as a count who owns a castle and…",https://i.mydramalist.com/elqrKc.jpg
F(X)=1CM,South Korea,2015,8,8.6,Open your eyes and what? f(x) is in front of you? f(x) are in my seat? I'll get f(x)! A hidden camera program.,https://i.mydramalist.com/W1Dgmc.jpg
NEP LEAGUE,Japan,2003,,10,"From easy common knowledge questions to difficult kanji (Chinese characters) questions, Nep League is filled with a variety of quizzes that won’t bore viewers. It’s being watched by viewers of all ages. Two teams,…",https://i.mydramalist.com/elqmec.jpg
GIRLS' GENERATION GOES TO SCHOOL,South Korea,2009,9,8.5,Girls' Generation Goes to School is a South Korean reality show starring the popular South Korean girl group Girls' Generation. The show documents the debut of the nine members of Girls' Generation and their associated…,https://i.mydramalist.com/Z4L28c.jpg
JESSICA & KRYSTAL,South Korea,2014,10,8.8,Reality show about the life of the sisters Jessica and Krystal Jung.,https://i.mydramalist.com/63WZ2c.jpg
NCT ON AIR,South Korea,2016,2,9,V LIVE SHOW,https://i.mydramalist.com/oVlYzc.jpg
4 THINGS SHOW: SEASON 1,South Korea,2014,18,7.9,,https://i.mydramalist.com/nvRJ6c.jpg
HELLO F(X),South Korea,2010,4,8,"South Korean documentary reality show where f(x) travels to Africa, then to Thailand and Japan.",https://i.mydramalist.com/jWDYdc.jpg
F(X) KOALA,South Korea,2010,15,8.4,"Four members of South Korean girl group f(x) travel to Los Angeles, Tokyo and other world-famous cities.",https://i.mydramalist.com/7nW8Rc.jpg
AMAZING (FX),South Korea,2013,8,8.5,South Korean girl group f(x) takes a trip to New Zealand.,https://i.mydramalist.com/dRDebc.jpg
2PM WILD BEAT IN AUSTRALIA,South Korea,2017,10,9.1,South Korean boy band 2PM under JYP Entertainment is sent to Australia where they have to earn for food and accommodation by doing part time jobs.,https://i.mydramalist.com/oVl2Ec.jpg
NCT DREAM SCHOOL MATE,South Korea,2017,4,8.9,V LIVE SHOW,https://i.mydramalist.com/YoDzKc.jpg
MY SM TELEVISION,South Korea,2016,,8.4,,https://i.mydramalist.com/2NWjOc.jpg
K-POP STAR: SEASON 2,South Korea,2012,22,8.3,Survival Audition K-pop Star is a South Korean reality TV competition show where the three largest entertainment/talent agencies in Korea hold worldwide auditions to find the next potential K-Pop stars. Preliminary auditions…,https://i.mydramalist.com/yN8nkc.jpg
K-POP STAR: SEASON 3,South Korea,2013,21,8,Survival Audition K-pop Star 3 is a South Korean reality television competition show. In third season of K-pop Star Jun Hyun-moo replaces Yoon Do-hyun and Boom as host. Yang Hyun-suk and Park Jin-young return as judges.…,https://i.mydramalist.com/D2Wr5c.jpg
OSHAREISM,Japan,2005,,8.5,Talk show with celebrities,https://i.mydramalist.com/elq2Qc.jpg
EXO CHANNEL,Japan,2015,21,8.6,"""EXO will debut on Japanese TV. EXO will meet Japanese viewers in their first Japanese regular broadcast 'EXO Channel'."" One news source stated, ""A foreign artist having a broadcast (TV program) in their name, who hasn't…",https://i.mydramalist.com/lOqA4c.jpg
K-POP STAR: SEASON 4,South Korea,2014,21,7.9,"Survival Audition K-pop Star is a South Korean reality television competition show. The forth season of K-pop Star returns with the same judges and host as season 3. Jun Hyun-moo is host. Yang Hyun-suk, Park Jin-young…",https://i.mydramalist.com/W1D8Pc.jpg
K-POP STAR: SEASON 5,South Korea,2015,21,8.1,"In fifth season of the South Korean reality television competition show K-pop Star Yang Hyun-suk, Park Jin-young, and You Hee-yeol returned as judges.",https://i.mydramalist.com/OrWJbc.jpg
K-POP STAR 6: LAST CHANCE,South Korea,2016,40,8.2,"The sixth and final season of the South Korean reality television competition show K-pop Star, also branded as K-pop Star 6: The Last Chance. Changes to the format have been made to the final season, with restrictions…",https://i.mydramalist.com/qkJd2c.jpg
DIA'S YOLO TRIP,South Korea,2017,4,8.5,"Girl group DIA travels to Tokyo and do lot's of stuff, from shopping and visiting well-known food spots to touring famous places.",https://i.mydramalist.com/jWDPzc.jpg
X-MAN,South Korea,2003,178,8.7,"The show features celebrities divided into 2 groups and working on finding the secret X-Man, whose main mission is to disrupt the teamwork of his team and keep his identity hidden. The winning team wins 1 million won.…",https://i.mydramalist.com/lOqnNc.jpg
IDOL SHOW: SEASON 5,South Korea,2009,16,8.8,a weekly Korean variety show hosted by the nation's most popular teen idol groups. it has a total of 5 seasons.,https://i.mydramalist.com/EYWwWc.jpg
1% FRIENDSHIP: CHUSEOK SPECIAL,South Korea,2017,2,7.6,Two people of completely opposite personalities must spend the day together and build a friendship. Will the 1 percent of common ground work for their friendships?,https://i.mydramalist.com/vQBL8c.jpg
I CAME ALONE,South Korea,2017,2,7.5,"The show will have stars traveling on different, themed vacation trips. After taking a trip alone, the hosts of the show watch their footage with other hosts and talk about what they felt during the trip and how each…",https://i.mydramalist.com/gWDLrc.jpg
THE TAETISEO,South Korea,2014,8,8.6,"The TaeTiSeo takes the viewers behind the scenes to unveil the human side of Taeyeon, Tiffany and Seohyun. Watch them eat, play, and love!",https://i.mydramalist.com/oVlkkc.jpg
DAILY TAENGOO CAM,South Korea,2015,5,9.3,Tae-yeon’s reality show where her daily life and selfies are uploaded daily as digital contents.,https://i.mydramalist.com/yN8r1c.jpg
GIRLS' GENERATION AND THE DANGEROUS BOYS,South Korea,2011,12,8.3,"The girls take up the challenge of being mentors for the first time. They have prepared opportunities for the 4 (initially 5) teenage boys to change their bad habits and start anew. In the later episodes, they learn…",https://i.mydramalist.com/LpW0Bc.jpg
STAR GOLDEN BELL,South Korea,2004,311,8.4,Game show where there are 20 celebrity guests who compete in quiz games.,https://i.mydramalist.com/pkXpnc.jpg
RADIO STAR,South Korea,2007,650,8.2,"On this hilarious talk show, four DJs ask their celebrity guests those sensitive questions that everyone wants to know the answer to.",https://i.mydramalist.com/gWDpXc.jpg
NEWS NA FUTARI,Japan,2016,,8.3,,https://i.mydramalist.com/3mNnAc.jpg
72 FLOORS OF MYSTERY,China,2017,12,8.5,72 Floors of Mystery is a 2017 Chinese adventure variety show on Hunan Television. The fixed team members are tasked with solving mysteries that will aid in understanding the secret behind the 72-floor building via the…,https://i.mydramalist.com/63Je0c.jpg
DEVIL'S RUNWAY,South Korea,2016,11,,"Both veterans and new faces, Korea’s top supermodels’ fatal battle on a runway.",https://i.mydramalist.com/45le6c.jpg
WHERE IS MY FRIEND'S HOME,South Korea,2015,62,8.5,"The show follows South Korean and foreign cast members of the South Korean television Non-Summit as they experience cultures of various countries through homestay, meeting the locals, and experiencing a better understanding…",https://i.mydramalist.com/w0BWAc.jpg
GUIDE TO MY ROOM,South Korea,2017,10,7.9,"Korean celebrities and world celebrities swap their rooms! Living in other celebrity’s room in a foreign country, the celebrities gain not only the first-hand experience of different culture but a deeper understanding…",https://i.mydramalist.com/RelArc.jpg
PARK JIN YOUNG'S PARTY PEOPLE,South Korea,2017,12,8.6,"It is mainly a music talk show with the atmosphere of a club, with alcoholic drinks.",https://i.mydramalist.com/gWrXvc.jpg
SNOWBALL PROJECT,South Korea,2017,72,8.8,"This TV show serves as a collaboration between SM Entertainment and Mystic Entertainment, where their musicians work together on making new music.",https://i.mydramalist.com/qkXbPc.jpg
DRAGON CLUB - IMMATURE BROMANCE,South Korea,2017,8,8.6,"Although they have been best friends for the past 20 years, these five celebrities were too busy to make any special memories such as traveling together. The childish and simple-minded group of five guys will go on a…",https://i.mydramalist.com/qkXAKc.jpg
HYENA ON THE KEYBOARD: PILOT,South Korea,2017,2,8.6,"The Korean music industry is like a jungle. Only the artists who can offer quality music can survive and be loved by the people. On Hyena on the Keyboard, popular artists who represent Korea will show us how hit songs…",https://i.mydramalist.com/0yneOc.jpg
THREE MEALS A DAY: FISHING VILLAGE 2,South Korea,2015,10,8.9,"The cast live in a little rural or fishing village three days a week and use whatever food they find there to create three meals a day, while various celebrities from Seoul make guest appearances for dinner. (Source:…",https://i.mydramalist.com/WQevRc.jpg
THREE MEALS A DAY: GOCHANG VILLAGE,South Korea,2016,12,8.8,"The cast live in a little rural or fishing village three days a week and use whatever food they find there to create three meals a day, while various celebrities from Seoul make guest appearances for dinner. (Source:…",https://i.mydramalist.com/vQ7n2c.jpg
THREE MEALS A DAY: FISHING VILLAGE 3,South Korea,2016,12,9,"The cast live in a little rural or fishing village three days a week and use whatever food they find there to create three meals a day, while various celebrities from Seoul make guest appearances for dinner. (Source:…",https://i.mydramalist.com/3mRDdc.jpg
WHO'S THE MURDERER: SEASON 1,China,2016,12,8.8,"In a prologue, the cast is introduced to the settings and suspects of a murder case for the new episode. The cast then chooses their role in the episode, as a particular suspect or the detective. Other than the detective,…",https://i.mydramalist.com/BpKl7c.jpg
WHO'S THE MURDERER: SEASON 2,China,2017,12,9,"In the second season, minor changes were made to the format of the show. The gold bars are given to the cast members beforehand. If they vote correctly, they can keep the gold bar. If not, they will have to return it.…",https://i.mydramalist.com/nvYDBc.jpg
WHO'S THE MURDERER: SEASON 3,China,2017,11,9,"In the third season, all the scenes have become realistic, in which the cast members experience the whole crime setting themselves. Props and the background of the cases are all original and solid, such as the hotel…",https://i.mydramalist.com/XKZoXc.jpg
EXILE CASINO,Japan,2014,,9.3,"EXILE Casino, later renamed to EXILE Casino JP, is a tv-show where EXILE TRIBE members come together to attempt various challenges in a casino-style format. Players will predict whether a challenge is ""possible"" or ""impossible"",…",https://i.mydramalist.com/lOn1Qc.jpg
SISTAR SHOWTIME,South Korea,2015,8,8.7,,https://i.mydramalist.com/el4LQc.jpg
EXID'S SHOWTIME,South Korea,2015,8,9,,https://i.mydramalist.com/zN8WJc.jpg
APINK SHOWTIME,South Korea,2014,8,8.8,,https://i.mydramalist.com/w0BLbc.jpg
TWICE TV: SEASON 1,South Korea,2015,5,8.2,"The show follows the nine members of TWICE — Nayeon, Jihyo, Jungyeon, Mina, Sana, Momo, Chaeyoung, Dahyun and Tzuyu — a South Korean girl group formed by JYP Entertainment, in their idol lifes. The episodes show…",https://i.mydramalist.com/qkXmBc.jpg
RUN FOR TIME: SEASON ONE,China,2015,9,8.8,"A Chinese variety show, where members must complete tasks together within a certain time limit. At the same time, they are to avoid the ""hunters"" (men in black) while inside the parameters of the game. In season one,…",https://i.mydramalist.com/nvYm4c.jpg
TWICE TV: SEASON 2,South Korea,2015,10,8.5,"The show follows the nine members of TWICE — Nayeon, Jihyo, Jungyeon, Mina, Sana, Momo, Chaeyoung, Dahyun and Tzuyu — a South Korean girl group formed by JYP Entertainment, in their idol lifes. The episodes show…",https://i.mydramalist.com/QdRvvc.jpg
KEYABINGO!: SEASON 1,Japan,2016,12,7.8,"""KeyaBingo!"" is a Japanese television variety show starring Japanese idol girl group Keyakizaka46 and hosted by the Japanese comedy duo Sandwichman.",https://i.mydramalist.com/w0oWNc.jpg
TWICE TV: SEASON 3,South Korea,2016,8,8.6,"The show follows the nine members of TWICE — Nayeon, Jihyo, Jungyeon, Mina, Sana, Momo, Chaeyoung, Dahyun and Tzuyu — a South Korean girl group formed by JYP Entertainment, in their idol lifes. The episodes show…",https://i.mydramalist.com/LpVdxc.jpg
LIPSTICK PRINCE: SEASON 2,South Korea,2017,10,8.4,"Lipstick Prince: Season 2 is a South Korean beauty show distributed by OnStyle and premiered March 30, 2017. The show features 7 idols learning about makeup techniques and applying these new skills on celebrity guests…",https://i.mydramalist.com/w0oKAc.jpg
TOKIO KAKERU,Japan,2012,,8.6,"Pop Idol Group TOKIO bring you a variety of original games on this show, welcoming various guests each time. The games are mainly original psychological games that challenge their mentality. For example, there is the…",https://i.mydramalist.com/W1VAPc.jpg
SSULZUN,South Korea,2013,240,9.8,"Ssulzun is a debate program on JTBC regarding current issues that affect South Korea. The word Ssulzun is a play on words for ""War of Tough Tongues."" Not only does it cover current issues, the show situates two opposing…",https://i.mydramalist.com/w0o3nc.jpg
SHOOT DORI,South Korea,2005,28,7,Shoot Dori is a variety show where young children under the age of 6 play in a recreational league for football(soccer). They practice and play on camera under the guidance of celebrity coaches and managers. Some of…,https://i.mydramalist.com/mk83bc.jpg
TONNERUZU NO MINASAN NO OKAGE DESHITA,Japan,1997,,,Japanese television variety show and game show that airs on Fuji Television,https://i.mydramalist.com/dRX5bc.jpg
VIXX TV,South Korea,2012,100,9.1,Show on official VIXX YT channel which takes us behind the scene of members' everyday life.,https://i.mydramalist.com/Qde1gc.jpg
MR. HOUSE HUSBAND,South Korea,2016,14,8.6,,https://i.mydramalist.com/D2lADc.jpg
B1A4 SESAME PLAYER,South Korea,2012,9,8,This season of Sesame Player is the time of the members of B1A4! They start the variety show off with the mission of reaching 2 million followers altogether and get even more missions to try and accomplish that goal.…,https://i.mydramalist.com/63qX0c.jpg
TOPP DOGG: ALL-KILL,South Korea,2016,10,9.2,"ALL-KILL: The ultimate definition of success. Hip-hop group Topp Dogg is here to win you over with their perseverance as they take on fan-submitted missions in Soompi’s first original web variety show, “Topp Dogg…",https://i.mydramalist.com/2NKLkc.jpg
WE LIKE ZINES!,South Korea,2017,13,5.7,"The media is evolving and diversifying into forms of unimagined only a few years ago. Now, it's time for '1conomy generation'! The Internet, which enabled traditional consumers of information to be providers of information,…",https://i.mydramalist.com/El5l0c.jpg
SINGING BATTLE,South Korea,2016,29,8.4,Celebrities from different working fields come together to have a vocal match after being trained. Who will be the winner?,https://i.mydramalist.com/QdOjWc.jpg
LET'S GO! DREAM TEAM SEASON 2,South Korea,2009,336,8.6,,https://i.mydramalist.com/D2OgDc.jpg
BEATLES CODE,South Korea,2010,71,8.3,,https://i.mydramalist.com/zNXzAc.jpg
BEATLES CODE 2,South Korea,2012,87,9,,https://i.mydramalist.com/45OjJc.jpg
BEATLES CODE 3D,South Korea,2013,18,8.3,,https://i.mydramalist.com/rkDzjc.jpg
2PM SHOW!,South Korea,2011,12,9.2,,https://i.mydramalist.com/ko4xrc.jpg
ONE NIGHT FOOD TRIP: SEASON 1,South Korea,2016,33,9,Celebrity foodies set off to different countries for 2 days 1 night searching for the best local food that one must not miss!,https://i.mydramalist.com/Z4K2jc.jpg
ONE NIGHT FOOD TRIP: SEASON 2,South Korea,2017,31,9.3,"The one- night food trip that became more powerful with the new season ! During a one-night two-day trip, performers can use a single roulette game chance! In addition, for the final winner, it is the honor of ""Golden…",https://i.mydramalist.com/V48Ozc.jpg
LET GO OF MY BABY: SEASON 1,China,2016,12,8.9,"Let Go Of My Baby is a reality show, where parents let celebrities take care of their child for about a month. They also set different activities at times.",https://i.mydramalist.com/pkJ6Dc.jpg
"WELCOME, FIRST TIME IN KOREA: SEASON 1",South Korea,2017,33,9.2,A new type of reality Korean vacation show exploring both the fun and cultural differences of foreigners who are in Korea for the first time through their Korean vacation travel log.,https://i.mydramalist.com/gW1prc.jpg
VICTON'S BORN IDENTITY,South Korea,2017,16,9.3,,https://i.mydramalist.com/BpAq6c.jpg
KANJANI8 NO JANIBEN,Japan,2007,197,8.4,Is a Japanese TV show hosted by the members of the group Kanjani8,https://i.mydramalist.com/elAPqc.jpg
BIG PICTURE,South Korea,2017,105,8.1,"With PD Yeo Woon-hyuk (formerly of Knowing Bros, Knee-Drop Guru, Infinite Challenge and others) in charge, Big Picture is about Haha & Kim Jong-kook's blockbuster-scale ideas that result in unexpected events, and them…",https://i.mydramalist.com/nvepEc.jpg
HITMAKER,South Korea,2016,3,8.7,,https://i.mydramalist.com/Qd4D6c.jpg
MAMAMOO X GFRIEND SHOWTIME,South Korea,2016,8,8.5,,https://i.mydramalist.com/V4yN0c.jpg
SEOULMATE,South Korea,2017,41,8.5,Korean celebrities host foreigners for 2-3 days in their homes.,https://i.mydramalist.com/koBrmc.jpg
SEKAI NO HATE MADE ITTEQ!,Japan,2007,300,,"The show features several regular host members going around the world looking at and doing humorous and amazing things, each host having their own little twist and style.",https://i.mydramalist.com/lObOec.jpg
HAPPY FAMILY PLAN,Japan,1997,,,Happy Family Plan is a popular Japanese game show in which fathers take on challenges such as memorizing the breeds of dogs or playing a musical instrument to win prizes for their families. There is a 2000 film based…,https://i.mydramalist.com/dRlwzc.jpg
FRESH SUNDAY,China,2016,12,8.5,Fresh Sunday is a Chinese cooking-variety show hosted by a popular host He Jiong and Got7 member Jackson Wang.,https://i.mydramalist.com/X4PyJc.jpg
GO FRIDGE,China,2015,10,8.4,"Go Fridge is a Chinese cooking show produced by Tencent Video. The rights were bought from South Korean television series Please Take Care of My Refrigerator. In each episode, two guests bring their refrigerators to…",https://i.mydramalist.com/EYqyWc.jpg
GRADE ONE,China,2014,11,9.3,"The theme decided by the production team was the ""growth diary of a fresh newbie teacher"". There were 7 elementary school students who participated the show, each from different family background. These seven students…",https://i.mydramalist.com/BpJZVc.jpg
"MY NEIGHBOR, CHARLES",South Korea,2015,,8.3,"Each episode follows the daily lives of foreigners in South Korea, filmed over the span of two weeks. Daily routines, language acquisition, and culture differences are shown during the program.",https://i.mydramalist.com/rkKAjc.jpg
TOKYO FRIENDS PARK II,Japan,1994,,8.1,"Tokyo Friend Park 2 (Japanese: 東京フレンドパークII; often abbreviated as ""TFP2"") is a Japanese game show that premiered in April 1994 on the Tokyo Broadcasting Station (TBS). TFP2 airs on Monday nights roughly…",https://i.mydramalist.com/2Nyydc.jpg
D.O.B,South Korea,2016,8,7.9,A KPOP Debut survival show by MNET and FNC consisting of 2 team : NEOZ DANCE (now known as SF9) and NEOZ BAND (now known as HONEYST),https://i.mydramalist.com/VQAYLc.jpg
MAMMA MIA,South Korea,2013,47,7.7,Mamma Mia is a talk show in which Korean celebrities and popular figures bring their mothers. (source: wikipedia),https://i.mydramalist.com/3mYr4c.jpg
I AM A MAN,South Korea,2014,20,8,"I Am a Man's show theme is"" a show of men, by the men, for the men.""",https://i.mydramalist.com/NvZgYc.jpg
BRAVE FAMILY,South Korea,2015,10,8.4,"Brave Family is a South Korean reality-variety show. The concept of this program will follow celebrities becoming virtual family members, going overseas to live and adapting to their lifestyles. (Source: Wikipedia)",https://i.mydramalist.com/OrDlYc.jpg
TWICE TV: SEASON 4,South Korea,2016,8,8.6,"The show follows the nine members of TWICE — Nayeon, Jihyo, Jungyeon, Mina, Sana, Momo, Chaeyoung, Dahyun and Tzuyu — a South Korean girl group formed by JYP Entertainment, in their idol lifes. The episodes show…",https://i.mydramalist.com/oVpVNc.jpg
LIFE BAR,South Korea,2016,150,8.1,It is a unique talk show where celebrity guests and the three show hosts candidly share their life stories over a drink.,https://i.mydramalist.com/kopJjc.jpg
TWICE TV: SEASON 5,South Korea,2017,24,9.1,"The show follows the nine members of TWICE — Nayeon, Jihyo, Jungyeon, Mina, Sana, Momo, Chaeyoung, Dahyun and Tzuyu — a South Korean girl group formed by JYP Entertainment, in their idol lifes. The episodes show…",https://i.mydramalist.com/EYzNbc.jpg
INFINITE! YOU ARE MY OPPA,South Korea,2010,8,8.5,“You’re My Oppa” is a reality show taken before their debut 2010 and broadcasted on Mnet Korea.,https://i.mydramalist.com/vQp8gc.jpg
GIRL'S DAY'S ONE FINE DAY,South Korea,2015,9,9,"Girl's Day heads to Okinawa, Japan for a trip to relax and to partake in various missions.",https://i.mydramalist.com/b2pbZc.jpg
THE BIRTH OF AN ACTOR,China,2017,13,8.8,,https://i.mydramalist.com/rkobEc.jpg
9MUSES CAST,South Korea,2014,19,8.8,Show on official Nine Muses YouTube channel which takes us behind the scene of members' everyday life.,https://i.mydramalist.com/7nRDyc.jpg
YOU HEE YEOL'S SKETCHBOOK,South Korea,2009,500,9,"Each week, musicians (usually 3–4) appear as guests to perform and talk with the MC You Hee Yeol for 10–15 minutes. (Source: Wikipedia)",https://i.mydramalist.com/PdPlZc.jpg
BOOM SHAKALAKA,South Korea,2016,1,8.7,"Chuseok special - Dance Variety Show ""Boom Shakalaka"" “Book Shakalaka” is a dance competition program where eight contestants transform into “Dance AlphaGos,” competing with South Korean dance hits from the 1980s…",https://i.mydramalist.com/EYenzc.jpg
TRICK & TRUE,South Korea,2016,16,7.4,"The show displayed four acts, performed by either a magician or a KAIST scientist, and it was the guests' job to figure out where the act was purely a magic trick or based on flawed scientific theory or an actual scientific…",https://i.mydramalist.com/W1x6Rc.jpg
YANG AND NAM SHOW,South Korea,2016,7,8.1,,https://i.mydramalist.com/Azdqgc.jpg
NEW YANG NAM SHOW,South Korea,2017,8,8.8,,https://i.mydramalist.com/dR7EKc.jpg
STYLE LOG 2014,South Korea,2013,15,8.1,,https://i.mydramalist.com/X4Yvgc.jpg
SUPER IDOL: SEASON 1,China,2015,13,8.5,Super Idol gathers 25 talented Chinese and Korean boys to South Korea to participate in a two-year idol training program. The winning students would eventually be combined to form a group as singers and actors to debut…,https://i.mydramalist.com/vQV1Zc.jpg
SUPER IDOL: SEASON 2,China,2016,12,8.4,Super Idol gathers talented Chinese and Korean boys to South Korea to participate in a two-year idol training program. The winning students would eventually be combined to form a group as singers and actors to debut…,https://i.mydramalist.com/nvo18c.jpg
FROMIS'S ROOM,South Korea,2017,5,9.1,Watch the nine winners of Mnet’s “Idol School” take their first steps as an idol group! This reality program follows “Fromis” every step of the way as they get ready for their debut.,https://i.mydramalist.com/gWeQqc.jpg
RUN FOR TIME: SEASON TWO,China,2016,12,8,"In season two, the concept is the same. The members must complete tasks and stay alive within the time limit, avoiding ""hunters"". The only difference is now they got rid of the Kepler story, and every episode has a completely…",https://i.mydramalist.com/qk00Pc.jpg
VSARASHI SAIKYOU OUJA KETTISEN SPECIAL  1,Japan,2008,1,8.6,"This is the first Special Of Entertainers Vs. Athletes Vs. Arashi Games are: Falling Pipe, Pinball Runner, Wall climb Middle Segment Thank you to TOKIO Separate Falling pipe Segment: Knock on a Jumping Door",https://i.mydramalist.com/2N6LEc.jpg
SISTERS OVER FLOWERS,China,2015,12,8.4,,https://i.mydramalist.com/Jp4Xpc.jpg
COOL KIZ ON THE BLOCK,South Korea,2013,174,8.7,One sport is chosen for a period of time and a team consisting of a few celebrities competes against citizens from all across South Korea. A few rules of the sport are customized to suit the broadcasting time. For most…,https://i.mydramalist.com/lOe6xc.jpg
YOUN'S KITCHEN,South Korea,2017,9,8.8,"Yoon Yeo Jung, Lee Seo Jun, Jung Yoo Mi and Shin Goo are to open a Korean restaurant on an island in Bali, Indonesia, to serve local people and tourists. Taking up the roles of CEO, director and assistant chef respectively,…",https://i.mydramalist.com/ReqYoc.jpg
SISTERS OVER FLOWERS,South Korea,2013,8,8.9,"Produced by Na PD, this show is about 4 actresses traveling in Turkey and Crotia with Lee Seung Gi joining them as the luggage boy.",https://i.mydramalist.com/63jrWc.jpg
GRANDPAS OVER FLOWERS: SEASON 1,South Korea,2013,7,8.7,"This show is about 4 veteran actors traveling around the world with the help of a luggage boy a.k.a Lee Seo Jin with a limited budget. First season of the show is filmed in Paris, Strasbourg, Bern, and Lucerne.",https://i.mydramalist.com/yNvmRc.jpg
GRANDPAS OVER FLOWERS: SEASON 2,South Korea,2013,5,8.6,"Produced by Na PD, this show is about 4 veteran actors traveling around the world with the help of a luggage boy a.k.a Lee Seo Jin with a limited budget. Second season of the show is filmed in Taiwan.",https://i.mydramalist.com/vQDv8c.jpg
GRANDPAS OVER FLOWERS: SEASON 3,South Korea,2014,8,8.8,This show is about 4 veteran actors traveling around the world with the help of a luggage boy a.k.a Lee Seo Jin with a limited budget. Third season of the show is filmed in Spain.,https://i.mydramalist.com/LpZB7c.jpg
GRANDPAS OVER FLOWERS: SEASON 4,South Korea,2015,7,8.8,This show is about 4 veteran actors traveling around the world with the help of a luggage boy a.k.a Lee Seo Jin with a limited budget. Fourth season of the show is filmed in Dubai and Greece and actress Choi Ji Woo joins…,https://i.mydramalist.com/OrVbLc.jpg
COMEDY BIG LEAGUE: SEASON 1,South Korea,2011,10,,,https://i.mydramalist.com/eldmYc.jpg
NEWLYWEDS DIARY: SEASON 2,South Korea,2017,8,8.1,"Produced by Na Young Seok, the second season of the newlyweds diary lets us peek into the lives of recently married couples, model Jang Yoon Joo and her husband Jung Seung Min and anchors Oh Sang Jin and Kim So Young.",https://i.mydramalist.com/AzKREc.jpg
YOUTH OVER FLOWERS: PERU,South Korea,2014,6,7.7,"Produced by Na Young Seok PD, three best friends Yoon Sang, Yoo Hee Yeol and Lee Jeok travels to Peru.",https://i.mydramalist.com/Yo2lKc.jpg
FLAMING YOUTH,South Korea,2015,136,,,https://i.mydramalist.com/45X7Qc.jpg
