SHOW NAME,COUNTRY/REGION,YEAR,EPISODES,RATINGS,SUMMARY,POSTER
IT’S DANGEROUS BEYOND THE BLANKETS,South Korea,2018,10,8.8,"“Homebodies trip of small but definite happiness.” Each of the members is seen enjoying time with music, television, or simply sitting under a blanket. (Source: Soompi)",https://i.mydramalist.com/yEqrBc.jpg
BTS GAYO,South Korea,2015,15,9.4,BTS GAYO is a 20 minute comedy-talk show starring BTS.,https://i.mydramalist.com/dR6jzc.jpg
TERRACE HOUSE: BOYS & GIRLS IN THE CITY,Japan,2015,46,8.4,"Six real-life strangers start their lives together under one roof. All they get is a fabulous home in Tokyo, Japan and a car. As always, there is no script. Friendships, fights, intrigue, and even love follow.",https://i.mydramalist.com/nv7e6c.jpg
AMERICAN HUSTLE LIFE,South Korea,2014,8,8.7,"BTS American Hustle Life is a reality show with the BTS members, they were thinking they were going to the US to travel for a new album, but they found out they were training with their new hip-hop tutors, Coolio and…",https://i.mydramalist.com/0yVNkc.jpg
MIXNINE,South Korea,2017,14,7.2,"On Mix Nine, YG Entertainment’s Yang Hyun Suk will visit management agencies across Korea to look for idol wannabes with potential and help them become a star. 400 trainees will be on the show, and for the final stage…",https://i.mydramalist.com/dR54Ac.jpg
SHINEE HELLO BABY,South Korea,2010,13,8.9,Hello Baby is South Korean reality show where celebrities experience parenthood by raising children ages 5 and under. Second season stars are SHINee who are taking care of 4 year toddler Jung Yoogeun. Will everything…,https://i.mydramalist.com/qqE4Bc.jpg
HYORI'S BED AND BREAKFAST,South Korea,2017,14,9.3,"The famous diva, Lee Hyo Ri, has been taking a long hiatus from the spotlight and enjoying her life in the suburbs of Jeju Island with her husband. The couple has decided to open up their home as a Bed and Breakfast…",https://i.mydramalist.com/zNmbdc.jpg
NO.MERCY,South Korea,2014,10,8.4,"No Mercy will show the trainees at Starship Entertainment going through fierce competition as they prepare for their debut. Currently housing SISTAR, K.Will, Boyfriend, JunggiGo, Mad Clown and more, Starship Entertainment…",https://i.mydramalist.com/PdjDyc.jpg
WIN: WHO IS NEXT?,South Korea,2013,11,8.4,YG’s next boy group formation will be determined on a real survival battle program called ‘WHO IS NEXT : WIN’ where only the real surviving team can seize the name ‘WINNER’ to make a debut.,https://i.mydramalist.com/KDYK8c.jpg
TERRACE HOUSE: OPENING NEW DOORS,Japan,2017,49,8.2,"A group of young people -- including a chef, a snowboarder, and an ice hockey player -- gather in Karuizawa woods while pursuing their dreams. (Source: Netflix)",https://i.mydramalist.com/ndbB2c.jpg
MONSTA X - RAY: SEASON 1,South Korea,2017,6,9.3,Monsta X's variety show where in episode they have different challenges.,https://i.mydramalist.com/nv7zQc.jpg
HELLO COUNSELOR,South Korea,2010,450,8.4,"Hello Counselor is a South Korean reality show that debuted in November 2010. It is hosted by Shin Dong Yup, Lee Young Ja, and Cultwo (Jung Chan Woo, Kim Tae Gyun). Choi Tae Joon joined the show as host from August 29,…",https://i.mydramalist.com/Yo5bKc.jpg
2 DAYS & 1 NIGHT: SEASON 3,South Korea,2013,257,9.3,"The cast members take various trips throughout South Korea, including many offshore islands, recommending various places that viewers can visit. While doing so, members also perform missions at a certain mealtime or…",https://i.mydramalist.com/V43wQc.jpg
REAL GOT7,South Korea,2014,10,8.9,"Real GOT7 is a South Korean reality show starring the boy group GOT7. We can discover the new boy's group of JYP with various games but also some ""making Film"".",https://i.mydramalist.com/b2DJYc.jpg
HIT THE STAGE,South Korea,2016,10,8.9,A dance competition where K-Pop artists and professional dance crews work together for the grand prize,https://i.mydramalist.com/nv6Bxc.jpg
RUN BTS! SEASON 3,South Korea,2019,29,9.7,"Run BTS! is a reality show starring BTS, where they play various and often unique games, competing individually or in groups.",https://i.mydramalist.com/Y3kmzc.jpg
MONSTA X - RAY: SEASON 2,South Korea,2017,8,9.3,“We’re prepared to show a variety of images that we weren’t able to show through the first season. Viewers can anticipate a fun show.” - Monsta X,https://i.mydramalist.com/Jp26jc.jpg
BLACKPINK HOUSE,South Korea,2018,12,8.8,"BLACKPINK House will follow the four members of BLACKPINK as they move into their new dorm, where they’ll be spending 100 days of vacation.",https://i.mydramalist.com/Vb01Qc.jpg
WANNA ONE GO,South Korea,2017,2,8.9,"The video shows the group’s meeting with the producers of the show, in which they talk about what they’ve been up to since the end of “Produce 101 Season 2” as well as things they’ve learned about one another…",https://i.mydramalist.com/bKgLZc.jpg
TERRACE HOUSE: ALOHA STATE,Japan,2016,36,7.8,"The beautiful island of Oahu is host to a new batch of six strangers who share a single roof, multiple conflicts and no script in this reality series.",https://i.mydramalist.com/7n5Qrc.jpg
SUPER TV: SEASON 1,South Korea,2018,12,9.3,"Super TV is a show that twists all of variety show formats in the world and presents them in Super Junior’s own way. This format is called Super Junior Crazy Idol Variety. The show's format will include quiz show,…",https://i.mydramalist.com/zEnbOc.jpg
NEW JOURNEY TO THE WEST: SEASON 4,South Korea,2017,11,9.5,Each member takes one of the characters from the classic Chinese novel “Journey to the West” as they go to different destination.,https://i.mydramalist.com/DXeWrc.jpg
SIXTEEN,South Korea,2015,10,7.9,Sixteen was a 2015 reality girl group survival show created by JYP Entertainment and Mnet. The show pitted sixteen JYP trainees against one another to secure a spot in the girl group Twice. Sixteen contestants were assessed…,https://i.mydramalist.com/vQKZXc.jpg
NEW JOURNEY TO THE WEST: SEASON 3,South Korea,2017,10,9.4,Each member takes one of the characters from the classic Chinese novel “Journey to the West” as they go to different destination every season.,https://i.mydramalist.com/pkbXec.jpg
BTS: BON VOYAGE 3,South Korea,2018,8,9.5,"BTS Bon Voyage is back as usual with it's third story. The seven members are making happy memories in Malta! This year, it is spectacular beyond your expectation as always! Are you ready to fly away with BTS to a beautiful…",https://i.mydramalist.com/pnylbc.jpg
CELEBRITY BROMANCE,South Korea,2016,66,8.5,"Celebrity Bromance portrays star friendships, and is filmed the ""paparazzi - style"" from a distance to allow the cast members to feel less overwhelmed by cameras.",https://i.mydramalist.com/oVBBvc.jpg
IDOL ROOM,South Korea,2018,100,8.8,"Find out all about your favorite K-pop idol groups! Hosted by the “idol experts”, Jeong Hyeong-don and Defconn! (Source: ondemandkorea)",https://i.mydramalist.com/Y0NOdc.jpg
UNPRETTY RAPSTAR,South Korea,2015,8,7.9,"Unpretty Rapstar is a brutal rap competition program focusing on female rappers. Where unpretty describes the girls who try not to look ""cute"" and ""girly"". The show features 8 women participating in team and 1v1 rap…",https://i.mydramalist.com/nv732c.jpg
MIX & MATCH,South Korea,2014,9,8.4,"Whole Team B (known from WIN: Who is Next) were in this YG's new survival show. While Bobby, B.I, and Jinhwan were confirmed members, the remaining members of Team B competed against three new trainees; Jung Jinhyeong,…",https://i.mydramalist.com/V4devc.jpg
NCT LIFE IN BANGKOK,South Korea,2016,6,9.1,"SM Entertainment's rookie boy group NCT are planning to show more of their unique characters in reality show 'NCT Life'! The season 1, NCT Life in Bangkok, focuses on SM Rookies and their journey to debut.",https://i.mydramalist.com/LdKY5c.jpg
SHOW ME THE MONEY: SEASON 4,South Korea,2015,10,8.3,"The format of each season varies, but generally consists of contestants going head to head in a series of challenges until only one rapper remains. The show includes a mixture of rookie and experienced rappers, with…",https://i.mydramalist.com/Bpz5Rc.jpg
HYORI'S BED AND BREAKFAST: SEASON 2,South Korea,2018,16,9,Hyori’s Homestay is a reality TV show that presents singers Lee Hyo Ri and Lee Sang Sun running a guest house in their own place in Jeju and staying with people of different ages and professions. After the application…,https://i.mydramalist.com/AYEyEc.jpg
HEART SIGNAL,South Korea,2017,14,8.2,A cohabitation of young men and women begin at Signal House where filled with rosy expectation of love and romance blooms. The “Predictors” with vast experiences in dating and love will detect potential lovers in…,https://i.mydramalist.com/YoBKgc.jpg
WANNA ONE GO: ZERO BASE,South Korea,2017,8,9.3,The second season of Wanna One Go offers exciting scenes from Wanna One’s tours as well as a glimpse into the everyday life of Wanna One members. The fans will be thrilled to see exclusive footage of behind scenes…,https://i.mydramalist.com/JxqVdc.jpg
REAL GOT7: SEASON 2,South Korea,2014,10,9,"It's the second season of the Reality Show ""Real GOT7""",https://i.mydramalist.com/0yP8kc.jpg
ROOKIE KING: CHANNEL BANGTAN,South Korea,2013,8,9.1,The first variety show of BTS which allows us to discover the boy's own personnality with some challenges to test the boys.,https://i.mydramalist.com/oV686c.jpg
HEART SIGNAL 2,South Korea,2018,13,8.1,"They say love has its own language and these men and women of the Signal House will live together in one house to find someone they like. Problem is, they can't say the words ""I like you"" nor can they share deciding…",https://i.mydramalist.com/JxJ8lc.jpg
SJ RETURNS,South Korea,2017,60,9.4,"Celebrating the group’s 12th anniversary with a new album, Super Junior will reveal how it prepared for its much-anticipated comeback in a special reality show. The show will capture a whopping 120 days of Super Junior…",https://i.mydramalist.com/ReOVoc.jpg
OFF GUN FUN NIGHT,Thailand,2017,9,9.5,"On the 12th of every month we are delivered with a talk show filled with games, laughs, stories and celebrity guests hosted by Off and Gun.",https://i.mydramalist.com/LdN4xc.jpg
COFFEE FRIENDS,South Korea,2019,10,9.1,"A variety show that follows Yoo Yeon Seok and Son Ho Jun as they run a cafe in a tangerine farm on Jeju Island, with their profits being donated to charity. The show was inspired by the two close friends and their “Coffee…",https://i.mydramalist.com/evjWYc.jpg
BTS COMEBACK SHOW,South Korea,2018,1,9.6,"The special comeback show will feature BTS’s first ever stage performances of their upcoming new songs from their new album ‘Love Yourself: Tear’, as well as behind-the-scene footages during the process of album…",https://i.mydramalist.com/6yKVpc.jpg
INFINITE CHALLENGE,South Korea,2005,616,8.7,"Infinite Challenge is recognized as the first ""Real-Variety"" show in Korean television history. The program is largely unscripted and follows a similar format of challenge-based reality television programs, familiar…",https://i.mydramalist.com/yNw26c.jpg
SHOW ME THE MONEY: SEASON 3,South Korea,2014,10,8.4,"The format of each season varies but generally consists of contestants going head to head in a series of challenges until only one rapper remains. The show includes a mixture of rookie and experienced rappers, with the…",https://i.mydramalist.com/Jp2zmc.jpg
EXO'S LADDER: SEASON 2,South Korea,2019,50,9.4,"Exo's newest Reality show, where they are travel in different countries. Using a 'ladder' to help decide their situations. This season will consist of all of the members in Taiwan.",https://i.mydramalist.com/z74vyc.jpg
SUPER TV: SEASON 2,South Korea,2018,12,9.1,Super TV returns with a new concept variety show titled King's Game (왕좌의 게임). Super Junior is famous for being King of Variety Show idols and will invite any idols who want to challenge them for the title.…,https://i.mydramalist.com/7g80yc.jpg
